participant_id,block,sequence,period_1_condition,period_2_condition,period_1_task_order,period_2_task_order
P001,1,section-adaptive-uniform,section-adaptive,uniform,wifi|weather|checkin|activity|emergency|checkout|tickets|restaurant,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P002,1,uniform-section-adaptive,uniform,section-adaptive,weather|checkin|activity|emergency|checkout|tickets|restaurant|wifi,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P003,1,uniform-section-adaptive,uniform,section-adaptive,checkin|activity|emergency|checkout|tickets|restaurant|wifi|weather,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P004,1,section-adaptive-uniform,section-adaptive,uniform,activity|emergency|checkout|tickets|restaurant|wifi|weather|checkin,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P005,2,section-adaptive-uniform,section-adaptive,uniform,emergency|checkout|tickets|restaurant|wifi|weather|checkin|activity,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P006,2,section-adaptive-uniform,section-adaptive,uniform,checkout|tickets|restaurant|wifi|weather|checkin|activity|emergency,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P007,2,uniform-section-adaptive,uniform,section-adaptive,tickets|restaurant|wifi|weather|checkin|activity|emergency|checkout,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P008,2,uniform-section-adaptive,uniform,section-adaptive,restaurant|wifi|weather|checkin|activity|emergency|checkout|tickets,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P009,3,section-adaptive-uniform,section-adaptive,uniform,wifi|weather|checkin|activity|emergency|checkout|tickets|restaurant,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P010,3,section-adaptive-uniform,section-adaptive,uniform,weather|checkin|activity|emergency|checkout|tickets|restaurant|wifi,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P011,3,uniform-section-adaptive,uniform,section-adaptive,checkin|activity|emergency|checkout|tickets|restaurant|wifi|weather,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P012,3,uniform-section-adaptive,uniform,section-adaptive,activity|emergency|checkout|tickets|restaurant|wifi|weather|checkin,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P013,4,uniform-section-adaptive,uniform,section-adaptive,emergency|checkout|tickets|restaurant|wifi|weather|checkin|activity,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
